,,CUSTOMER MANAGEMENT LIST,,,,,,,,,
Company Name,Contact Name,Billing Address,City,State ,Postal Code,Website,Phone Number,Fax Number,E-Mail Address,Notes,
K.D.K. Supply Leasing,,1811 North Monet Road,Nixa,Missouri,65714,,417-724-0764,,,,
Kansas City Master C,,13501 Arrington Road,Grandview,Missouri,64030,,816-763-1500,,,,
KarrenBrock Construction,,P.O. Box 279,New Melle,Missouri,63365,,636-828-5420,,,,
KCI,,,,,,,,,,,
"Kent Companies, Inc.",Chris Fennema,130-60th Street South West,Grand Rapids,Michigan,49548,www.kentcompanies.com,616-534-4909,616-534-4890,chrisf@kentcompanies.com,,
"Kent Companies, Inc. Carolinas",Chris Fennema,"1223 Quarry Overlook Drive, Suite 102",Fort Mills,South Carolina,29715-8904,www.kentcompanies.com,803-548-5368,803-548-5370,rbilton@kentcompanies.com,,
"Kent Companies, Inc. Texas",Chris Fennema,830 East Valley Blvd,Lewisville,Texas,75057,www.kentcompanies.com,972-221-8113,972-221-6102,dmckinney@katexas.com,,
Kiewit Massman,,Box 31096,Omaha,Nebraska,68131,,,,,,
Kissick Constrution,,8131 Indiana Avenue,Kansas City,Missouri,66283,,816-363-5530,,,,
Kline Material Inc,,3790 State Highway 34 C,Woodward,Oklahoma,73801,,580-256-2062,,,,
Kolde Concrete,Mike Kolde,28630 Highway 24,Saint Marys,Kansas,66536,www.koldeconcrete.com,785-437-3730,785-437-3413,mkolde@koldeconcrete.com,,
"Kustom Concrete Pumping, Inc.",Matthew Barbara,1425 East Aurora Avenue,Des Moines,Iowa,50313,,515-777-9899,,matt@kustompumps.com,,
KW Trucking,,607 Central Street,Saint Paul,Kansas,66771,,620-449-2763,,,,
L & L Concrete & Construction,,P.O. Box 5805,Grand Island,Nebraska,68802,,308-381-2004,,,,
"LaHood Construction, Inc.",Joe Lahood,3305 N Main Street,East Peoria,Illinois,61611,www.lahoodconstruction.com,309-699-5080,,,,
"Lakeshore Concrete Pumping, LLC.",Casey Wynsma,"11116 Fitzgerald, Suite A",Nunica,Michigan,49448,,616-837-0689,,Casey@lakeshoreconcretepumping.com,,
Lenxa Police Department,,12500 West 87th Parkway,Lenexa,Kansas,66215,,,,,,
Lewallen Construction Company,Larry Lewallen,151 Bells Ferry Lane,Marietta,Georgia,30066,www.lewallenconstruction.com,770-426-6667,770-423-9411,peggy@lewallenconstruction.com,,
Liebherr Concrete Technology Co.,Bob Liebermann,4100 Chestnut Avenue,Newport News,Virgina,23607,www.liebherr.us,757-928-8547,757-928-2489,info.lct@liebherr.com,,
Louis Waters,,,,,,,,,,,
LS Construction,,1600 North State Route 29,Independence,Missouri,64055,,816-257-2869,,,,
Luther Stem Concrete Pumping,"Luther N. Sterm, III",5011 Old Greenwood Street,Ft. Smith,Arkansas,72903,,479-646-7867,479-646-2702,stempump@yahoo.com,,
Manhattan Road & Bridge Company,Todd Saxton,5601 South 122nd East Avenue,Tulsa,Oklahoma,74146,www.manhattanrb.com,918-437-9560,918-437-9563,tasaxton@manhattanrb.com,,
Maples Construction,Marvin Maples,5001 NorthWest Cookingham Road,Kansas City,Missouri,64164,,816-464-5773,,,,
"Maples Pumping, LLC",,15475 Kinghton Avenue,Platte City,Missouri,64079,,816-464-5800,,,,
Mardian Concrete Pumping Co. 1,Charles Gross,2703 East Industrial Drive,Flagstaff,Arizona,86004,www.mardianconcretepumping.com,928-526-4966,,,,
Mardian Concrete Pumping Co. 2,"Dan Mardian, Jr.",221 South 35th Avenue,Phoenix,Arizona,85009,www.mardianconcretepumping.com,855-821-9057,602-352-0413,dmardian@marcocrane.com,,
Mardian Concrete Pumping Co. 3,Wes Farley,4142 East Tennessee,Tucson,Arizona,85714,www.mardianconcretepumping.com,,,,,
Marner Concrete Pumping,Ray Marner,6779 East 600 North,Montgomery,Indiana,47558,,812-486-3436,812-486-3236,marnerconcrete@yahoo.com,,
Martinson Construction,David Martinson,3842 West Airline Highway,Waterloo,Iowa,50703,www.martinsonconcstruction.com,319-232-4000,319-232-5020,davem@martinsonconcstruction.com,,
Massman Construction Co.,,8901 State Line,Kansas City,Missouri,64114,www.massman.net,816-523-1000,816-333-2109,,,
"Masterlink Concrete Pumping, LLC 1",Steve Slater,3330 East 83rd Place,Merrillville,Indiana,46410-6703,www.masterlinkpumping.com,219-662-8218,319-942-6612,steve@masterlinkpumping.com,,
"Masterlink Concrete Pumping, LLC 2",Steve Slater,16200 Lincoln Way,Plymouth,Indiana,46563,www.masterlinkpumping.com,574-298-5137,,steve@masterlinkpumping.com,,
"McClure Concrete, Inc.",Tim Wood,PO Box 473460,Aurora,Colorado,80047-3460,,303-364-7399,303-364-7395,devin@mcclure-concrete.com,,
Mcnish Foundations,,1643 1300 Road,Lawrence,Kansas,66046,,785-842-3977,,,,
Meril Concrete Pumping & Conveying San Deigo,John Caole,1331 Distribution Way,Vista,California,92081,,760-597-2480,760-597-2482,merlidispatch@sbcglobal.net,,
"Meyer Concrete Pumping & Conveyor Service, LLC",Mike Popp,PO Box 296,Libertyville,Illinois,60048,www.meyerpumping.com,847-367-7867,847-680-5983,mpopp@meyerpumping.com,,
"MGM Concrete Pumping, LLC",,PO Box 68,Milan,Missouri,63556,,,,,,
"Michel Concrete Construction, Inc.",Mary Wilson,3101 Great Nothern Drive,Springfield,Illinois,62711,www.michelconcrete.com,217-698-9800,217-793-6212,mary@michelconcrete.com,,
Mick's Equipment Repair,,1914 North Plymouth,Independence,Missouri,64058,,816-882-2128,,,,
"Mid American Concrete Pumping, Inc.",Darlene Schlegel,221 South 11th Street,Neodesha,Kansas,66757,,620-325-2136,,midamericapumping@yahoo.com,,
Mid States Pumping,,P.O. Box 628,Eldon,Missouri,65026,,,,,,
MidAmerica Concrete,,,,,,,,,,,
MidStates Concrete Pumping,Dan J. Stallbaumer,534 Railroad Street,Bern,Kansas,66408,www.ahrs-inc.com,877-700-7856,,dans@ahrs-inc.com,,
MidWest Concrete Pumping,Mitch Parrish,PO box 2029,Washington,Missouri,63090,,636-239-0061,636-239-1672,mparrish@fidnet.com,,
Midwest Equipment ,,,,,,,,,,,
Mills Foundation ,,1811 North Monet Road,Nixa,Missouri,65714,,417-725-1437,,,,
Misc,,,,,,,,,,,
ML Crose Foundations,Merrill Crose,4512 North Allison Road,Sibley,Missouri,64088,www.crosefoundations.com,816-616-2859,816-650-5263,ml450r@aol.com,,
Moberly Concrete Pumping,,401 Patterson Avenue,Salisbury,Missouri,65281,,660-651-7888,,,,
Nate's Concrete Pumping,,P.O. Box 642,Eldon,Missouri,65026,,573-216-1124,,,,
"Nettleton Ready Mix, Inc.",Brandon Winters,PO Box 2157,Jonesboro,Arkansas,72402,www.nettletons.com,870-932-4400,870-932-4079,bwinters@nettletons.com,,
North Pacific Concrete Pumping,Marlin Zoerink,557 Loomis Trail Road,Lynden,Washington,98264,,360-354-1900,360-354-8054,northpacificcp@yahoo.com,,
Northland Construction,,8607 Schell Road,Liberty,Missouri,64068,,816-781-7113,,,,
"Nuprocon Pumping & Equipment, Inc.",Steve Heimark,7504 Copper Crown Court,Las Vegas,Nevada,89129,,702-395-2562,702-364-2563,julie@nuprocon.com,,
O'Brien Concrete Pumping - AZ,Richard O'Brien,4715 West Buckeye Road,Phoenix,Arizona,85043,www.obrienpumping.com,602-278-8926,,pete@obrienpumping.com,,
O'Brien Concrete Pumping -CO,Richard O'Brien,"640 West Tennessee Avenue, Unit C",Denver,Colorado,80223-2813,www.obrienpumping.com,303-778-8771,303-733-8345,robrien@obrienpumping.com,,
OCCI,,3200 County Road 257,Fulton,Missouri,65251,www.occimofab.com,573-642-6087,573-642-1419,office@occimofab.com,,
"O'Dell Concrete Pumping Service, Inc",Randy Sutton,5201 N. 57th Street,Lincoln,Nebraska,68507,www.odellconcretepumping.com,402-466-8845,,rsutton@odellco.net,,
"Original Concrete Pumping Service, Inc",Harvey Hoyer,840 Fairway Drive,Bensenville,Illinois,60106-1313,www.originalconcrete.com,630-860-1100,630-860-1102,originalconcrete@sbcglobal.net,,
P C I ,,1203 Main Street,Grandview,Missouri,64030,,,,,,
"Parker Concrete Placement, Inc",Brian Parker,21 West 171 Hill Avenue,Glen Ellyn,Illinois,60137,,815-928-9400,815-550-1671,parkerplacement@yahoo.com,,
Paseo Corridor Construction,,103 West 26th Avenue,North Kansas City,Missouri,64116,,,,,,
Peak Concrete Pumping,Tracy Horner,PO Box 1150,Silverthorne,Colorado,80498,www.peakconcretepumping.com,970-389-2964,970-468-2756,thorner@evmat.com,,
Peak Concrete Pumping - Steamboat Springs,Tracy Horner,PO Box 1150,Silverthorne,Colorado,80498,www.peakconcretepumping.com,970-389-2964,970-468-2526,thorner@evmat.com,,
"Perma-Structo, Inc.",Mark Beaudin,"9420 Charles Street, PO box 705",Sturtevant,Wisconsin,53177,www.permastructo.com,262-886-2258,262-886-3026,markb1@tds.net,,
"Pete Lien & Sons, Inc.",Kim Sarver,PO Box 440,Rapid City,South Dakota,57709,www.petelien.com,605-342-7224,605-342-6979,ksarver@petelien.com,,
Peter Kewit & Sons,,203 South 36th Street,Omaha,Nebraska,68131,,402-342-2052,,,,
Pioneer Concrete Pumping 1,Patrick Inglese,6400 Highlands Parkway Suite C,Smyma,Georgia,30082,www.pioneerconcrete.com,770-434-0600,770-434-5950,pinglese@pioneerconcrete.com,,
Pioneer Concrete Pumping 2,Jeff Rice,3485 Roy Orr Blvd.,Grand Prairie,Texas,75050,www.pioneerconcrete.com,972-313-8500,972-313-8505,jrice@pioneerconcrete.com,,
Pioneer Concrete Pumping 3,Wayne Mays,1723 FM 1516,Converse,Texas,78109,www.pioneerconcrete.com,210-661-0055,210-661-0066,wmays@pioneerconcrete.com,,
