,,CUSTOMER MANAGEMENT LIST,,,,,,,,,
Company Name,Contact Name,Billing Address,City,State ,Postal Code,Website,Phone Number,Fax Number,E-Mail Address,Notes,
Valley Concrete Pumping,Michael Troyer,59757 Gunnison Road,Olathe,Colorado,81425,,970-323-8926,970-323-6383,valleypump@kaycee.net,,
"Vee-Jay Cement Contracting CO., Inc.",Roger Vancardo,8053 Chivvis Drive,St. Louis,Missouri,63123,,314-351-3366,314-481-2062,rogerv@veejaycement.com,PO # Required for payment,
Venture Placement,,2716 Eureka Terrace,Manhattan,Kansas,66503,,785-537-2334,,,,
Viper Concrete 2000 LP CANADA 1,Mike Maksymic,4 Industry Way SE,Calgary,Alberta,T3S 0A2,www.viperconcrete.com,403-720-2212,403-217-7795,info@viperconcrete.com,,
Viper Concrete 2000 LP CANADA 2,Mike Maksymic,3028 Millar Avenue,Saskatoon,Saskatchewan,S7K 6N3,www.viperconcrete.com,877-984-7379,,info@viperconcrete.com,,
"Virgina Concrete Pumping, LLC.",Catherine Bowles,PO Box 186,Chesterfield,Virgina,23832,www.vaconcretepumping.com,804-739-1100,,cathy@vaconcretepumping.com,,
"Vista Ridge Concrete Pumping, Inc",Bob Guevermont,PO Box 293265,Lewisville,Texas,75029-3265,www.vrcpinc.com,972-316-0148,972-219-1655,bobg@vrcpinc.com,,
"Wall-Ties & Forms, Inc",,400 Bonner Industrial,Shawnee,Kansas,66226,,913-441-0073,,,,
Walters Concrete,,2413 Melissa Lane,Joplin,Missouri,64804,,417-481-3646,,,,
Warren County,,6355 Bluff Road,Washington,Missouri,63090,,636-239-0061,,,,
"Waters Construction, Inc.",,6570 West 140th Street Apt #3003,Overland Park,Kansas,66223,,,,,,
Western Concrete Pumping (AZ),Jon Latty,4039 East Winslow,Phoenix,Arizona,85040,www.westernconcretepumping.com,602-456-7557,602-456-7570,jonl@wcp.us.com,,
Western Concrete Pumping (CA),Chuck Reed,2181 La Mirada Drive,Vista,California,92081,www.westernconcretepumping.com,760-598-7855,760-598-5850,,,
Western Concrete Pumping (LA),Todd Termini,8328 Hooper Road,Baton Rouge,Louisiana,70811,www.westernconcretepumping.com,225-228-1384,225-234-0485,,,
Western Concrete Pumping (OK),Charlie Boyer,5629 South 107th East Avenue,Tulsa,Oklahoma,74146,www.westernconcretepumping.com,918-893-5617,,jimd@wcp.us.com,,
Western Concrete Pumping (TX),Corby Allbright,1270 F.M. 2001,Buda,Texas,78610,www.westernconcretepumping.com,512-312-4440,512-312-4502,corbya@wcp.us.com,,
Western Concrete Pumping (WA),Arv Zoerink,2015 East Bakerview Road,Bellingham,Washington,98226,www.westernconcretepumping.com,360-671-5757,360-647-8611,,,
White River Concrete,,1945 Pleasant Valley,Gelena,Missouri,65656,,,,,,
Wortman Concrete Pumping,Randy Wortman,55171 857th Road,Pierce,Nebraska,68767,,402-649-9980,402-371-3175,randy@wortmanconcretepumping.com,,
X-Stream Concrete Pumping CANADA,Kayne Hemsing,2812 Irvine Avenue,Saskatoon,Saskatchewan,S7J 2B5,,306-681-8862,,xstreampower@sasktel.net,,
"Zomax Concrete Pumping, Inc.",Richard Thornton,"5375 South Cameron, #B",Las Vegas,Nevada,89118,,702-877-2250,702-873-5033,rhornton@lvpumps.com,,
